Detectado,Acuracia
person, 0.9991
person, 0.9048
person, 0.9996
person, 0.9774
person, 0.9993
person, 0.9599
person, 0.9998
person, 0.8139
person, 0.6475
person, 0.9996
person, 0.8457
person, 0.5907
person, 0.9996
person, 0.9106
person, 0.6009
person, 0.9995
person, 0.9237
person, 0.5965
person, 0.9993
person, 0.9387
person, 0.6881
person, 0.9994
person, 0.9662
person, 0.6700
person, 0.9995
person, 0.9475
person, 0.6712
person, 0.9996
person, 0.9442
person, 0.5490
person, 0.9998
person, 0.9448
person, 0.5748
person, 0.9994
person, 0.9613
person, 0.5479
person, 0.9957
person, 0.5436
person, 0.9039
person, 0.7948
person, 0.6025
person, 0.9991
person, 0.6142
person, 0.9984
person, 0.6812
person, 0.9992
person, 0.8951
person, 0.6821
person, 0.9994
person, 0.5971
person, 0.5855
person, 0.9994
person, 0.8228
person, 0.9951
person, 0.5232
person, 0.9975
person, 0.9982
person, 0.9979
person, 0.9978
person, 0.9977
person, 0.5121
person, 0.9989
person, 0.5071
person, 0.9985
person, 0.7453
person, 0.5026
person, 0.9971
skateboard, 0.6379
person, 0.5035
person, 0.9993
skateboard, 0.8144
person, 0.5503
person, 0.9998
skateboard, 0.7176
person, 0.9998
person, 0.5896
person, 0.5636
person, 0.9998
person, 0.6806
person, 0.6547
person, 0.9996
person, 0.6188
person, 0.5780
person, 0.9991
person, 0.8145
person, 0.6485
person, 0.9999
person, 0.6425
person, 0.9991
person, 0.6738
person, 0.9994
person, 0.8647
skateboard, 0.6621
person, 0.9989
person, 0.8874
person, 0.7277
person, 0.9998
person, 0.7850
person, 0.6477
person, 0.9996
person, 0.8333
skateboard, 0.7079
person, 0.9996
person, 0.9766
person, 0.6786
person, 0.9981
person, 0.9202
person, 0.9179
person, 0.9997
person, 0.8070
person, 0.5615
